# Stock Market Information for MSFT
# Open,High,Low,Volume,Close
75.6700,76.0300,75.5400,13692791,76.0000
75.2200,76.1200,74.9600,20656238,75.9700
74.0000,74.7200,73.7100,13287346,74.6900
74.6700,74.8800,74.1950,11935853,74.2600
74.7100,75.0100,74.2950,15210338,74.6100
73.9400,74.5350,73.8800,16700435,74.4900
73.5400,73.9700,73.3100,10814063,73.8700
73.5500,74.1700,73.1700,18934048,73.8500
73.6700,73.8100,72.9900,17105469,73.2600
74.0900,74.2500,72.9200,23502422,73.2600
73.9900,74.5100,73.8500,13969937,74.4100
75.1100,75.2400,74.1100,19038998,74.2100
75.3500,75.5500,74.3100,20415084,74.9400
75.2100,75.7100,75.0100,15606870,75.4400
75.2300,75.9700,75.0400,22730355,75.1600
74.8300,75.3900,74.0700,37901927,75.3100
75.0000,75.4900,74.5200,15373384,74.7700
74.9300,75.2300,74.5500,12998629,75.2100
74.7600,75.2400,74.3700,14003880,74.6800
74.3100,74.9450,74.3100,17428067,74.7600
74.3300,74.4400,73.8400,14474383,73.9800
73.6800,74.6000,73.6000,17165518,74.3400
73.7400,74.0400,73.3500,15945136,73.4000
73.3400,73.8900,72.9800,21432599,73.6100
74.7100,74.7400,73.6400,21593192,73.9400
74.0300,74.9600,73.8000,26688077,74.7700
73.0100,74.2099,72.8293,16826094,74.0100
72.2500,73.1600,72.0500,11325418,73.0500
73.0600,73.0900,72.5500,14112777,72.8300
